(index + 1),Azimuth[index],Elevation[index],SunXComponents[index],SunYComponents[index],SunZComponents[index],Third Euler Angle
292,92.59105288,292.9613601,-6658669.424,57324666.74,-135257457.5,344.6551647
293,93.74154073,292.9880369,-9607696.823,57323944.12,-135080372.7,343.4017423
294,94.89176192,293.0245965,-12552167.71,57323221.29,-134839017.7,342.1483199
295,96.04163144,293.0711108,-15490681.55,57322498.25,-134533507.1,340.8948975
296,97.19106316,293.1276713,-18421840.68,57321774.99,-134163985.8,339.6414752
297,98.33996954,293.1943898,-21344250.88,57321051.52,-133730629.2,338.3880528
298,99.48826134,293.2713986,-24256522.11,57320327.84,-133233643.4,337.1346304
299,100.6358473,293.3588515,-27157269.14,57319603.94,-132673264.3,335.881208
300,101.7826339,293.4569238,-30045112.23,57318879.83,-132049758.1,334.6277856
301,102.9285249,293.5658138,-32918677.74,57318155.5,-131363421.2,333.3743632
302,104.0734211,293.6857431,-35776598.84,57317430.96,-130614579.8,332.1209408
303,105.21722,293.816958,-38617516.13,57316706.2,-129803589.7,330.8675185
304,106.3598152,293.9597302,-41440078.29,57315981.23,-128930836.3,329.6140961
305,107.5010964,294.1143584,-44242942.72,57315256.05,-127996734.6,328.3606737
306,108.6409484,294.2811696,-47024776.18,57314530.65,-127001728.4,327.1072513
307,109.7792512,294.4605203,-49784255.45,57313805.04,-125946290.9,325.8538289
308,110.9158789,294.6527984,-52520067.9,57313079.21,-124830923.7,324.6004065
309,112.0506999,294.8584253,-55230912.18,57312353.17,-123656157.1,323.3469841
310,113.1835754,295.0778573,-57915498.79,57311626.92,-122422549.6,322.0935617
311,114.3143597,295.3115882,-60572550.74,57310900.45,-121130687.6,320.8401394
312,115.4428986,295.5601517,-63200804.1,57310173.77,-119781185.3,319.586717
313,116.5690293,295.8241238,-65799008.65,57309446.87,-118374684.4,318.3332946
314,117.6925794,296.1041259,-68365928.45,57308719.76,-116911853.5,317.0798722
315,118.8133659,296.4008278,-70900342.44,57307992.44,-115393388.2,315.8264498
316,119.9311941,296.714951,-73401045.01,57307264.9,-113820010.6,314.5730274
317,121.0458568,297.0472728,-75866846.58,57306537.15,-112192468.5,313.319605
318,122.157133,297.3986297,-78296574.17,57305809.18,-110511536.1,312.0661826
319,123.2647866,297.7699223,-80689071.94,57305081,-108778012.4,310.8127603
320,124.3685649,298.1621198,-83043201.76,57304352.61,-106992721.9,309.5593379
321,125.4681972,298.5762649,-85357843.75,57303624,-105156513.4,308.3059155
322,126.5633927,299.0134798,-87631896.8,57302895.18,-103270260.1,307.0524931
323,127.653839,299.4749716,-89864279.1,57302166.14,-101334858.8,305.7990707
324,128.7392,299.9620391,-92053928.65,57301436.89,-99351230,304.5456483
325,129.8191131,300.4760793,-94199803.79,57300707.43,-97320316.86,303.2922259
326,130.8931873,301.0185947,-96300883.66,57299977.75,-95243085.18,302.0388036
327,131.9609996,301.5912013,-98356168.7,57299247.85,-93120522.75,300.7853812
328,133.0220928,302.1956361,-100364681.1,57298517.75,-90953638.93,299.5319588
329,134.0759712,302.8337663,-102325465.4,57297787.43,-88743464.16,298.2785364
330,135.1220975,303.5075972,-104237588.7,57297056.89,-86491049.49,297.025114
331,136.1598882,304.2192819,-106100141.3,57296326.14,-84197466.05,295.7716916
